path,bytes,sha256,status
scripts\phase11\module_C\11C_data_quality_validator_READY.py,1099,44586d7c3458945ba52e603bbb48df545c66d480acecc3692d16794a363ea98d,OK
scripts\phase11\module_C\11C_fail_safe_backup_system_READY.py,1616,3c11beb8e82526cf97bb64dd06c8bf4c71833bf46a06f023ed74af8f668c9448,OK
scripts\phase11\module_C\11C_placeholder_READY.py,586,12e29b27848ace1ce859a911e568cc9ce1d7e8d33e1f0ed603396b77c52ff527,OK
scripts\phase11\module_C\11C_script_integrity_checker_READY.py,1566,5c9a109dfbb641a74fddc45aee1bcbef951ba8da713e42f6ca68255d3c99309a,OK
scripts\phase11\module_C\phase11_module_C_placeholder_READY.py,919,da912ced7cf5289c1677744765b230f3ae2ac07932f352a3e513b479a9f3ca3a,OK
scripts\phase11\module_D\11D_deployment_readiness_auditor_READY.py,155,5c17747c9d1a3a832cde26a90b07ed3a9ca2c0e39f00634a2fbf5571ccd71277,SMALL<300
scripts\phase11\module_D\11D_failpoint_injection_simulator_READY.py,156,d87504a1ebb56283e0dbdfba9da5d35022a8ef2bac794a26cb658e02cb39ffbf,SMALL<300
scripts\phase11\module_D\11D_orchestration_consistency_check_READY.py,158,86862d23427abb4752530931d78ea81c6c91f82e80d7eb9fa92c873a4194777e,SMALL<300
scripts\phase11\module_D\11D_placeholder_READY.py,68,f5eb6d9770dea5bab7b5f64c2f6b71265eeba97eadf1579a44cbd1b3afe48252,SMALL<300
scripts\phase11\module_E\11E_api_health_checker_READY.py,145,a657eebc3bfeea0fa279a1c5e3edfce75c879f8cb5d1ba9f67242f774b6c003f,SMALL<300
scripts\phase11\module_E\11E_bottleneck_profiler_READY.py,146,783c2cb2dc142a6d59742a838858fb4e42669f71245da55dc8779791c2759c85,SMALL<300
scripts\phase11\module_E\11E_broken_script_detector_READY.py,149,c8f09bd19fc036d9f3e13777c2ef0b67351fde1a126a0460de31d737bc22c7fd,SMALL<300
scripts\phase11\module_E\11E_budget_burn_monitor_READY.py,146,0ec7b2678ab75b453764bc4549401c0ff4b75b4fa20a5664885755b5a9d211b3,SMALL<300
scripts\phase11\module_E\11E_file_folder_cleanup_READY.py,146,ddaf5b6f2c3a221c459f0cfc2bc0e5b71a6af52fbc0209a05a9b8bb336d1f314,SMALL<300
scripts\phase11\module_E\11E_placeholder_READY.py,68,f5eb6d9770dea5bab7b5f64c2f6b71265eeba97eadf1579a44cbd1b3afe48252,SMALL<300
scripts\phase11\module_F\11F_agent_performance_log_READY.py,148,45fa5482ba750416c34a592b28a24c009a2408f993e27c368312788d07083bb0,SMALL<300
scripts\phase11\module_F\11F_error_pattern_analyzer_READY.py,68,f5eb6d9770dea5bab7b5f64c2f6b71265eeba97eadf1579a44cbd1b3afe48252,SMALL<300
scripts\phase11\module_F\11F_placeholder_READY.py,68,f5eb6d9770dea5bab7b5f64c2f6b71265eeba97eadf1579a44cbd1b3afe48252,SMALL<300
scripts\phase11\module_F\11F_redundancy_reducer_READY.py,145,914f4c3031bc1572f61c845f06d8b44a52a4a578cba7eba5b8508e4e9f1581aa,SMALL<300
scripts\phase11\module_F\11F_retry_dead_job_scanner_READY.py,149,eb2d366c773634d0f4c5d1ab738dee1eec5cf116828bdcebd287c41de8762845,SMALL<300
scripts\phase11\module_G\11G_full_system_audit_report_READY.py,151,7b19655bf338d14f22b1edad7a40d33033fb9a66e17d8c7f64dfc43ec47cd72a,SMALL<300
scripts\phase11\module_G\11G_placeholder_READY.py,68,f5eb6d9770dea5bab7b5f64c2f6b71265eeba97eadf1579a44cbd1b3afe48252,SMALL<300
scripts\phase11\module_H\11H_dead_api_key_validator_READY.py,149,13d90befe7953dd4c2c50ce2cd652022ca1052c3c722de019e2b8dd914d2595e,SMALL<300
scripts\phase11\module_H\11H_dependency_graph_audit_READY.py,149,2bcd678b4d234774e6e6f10cd85d1cf622da040194336b2452d612e48fb99d12,SMALL<300
scripts\phase11\module_H\11H_logging_coverage_analyzer_READY.py,152,8faf77c3209cb06c301a5317cf51639344f73187d0c59c38feb6e915f57a3bb4,SMALL<300
scripts\phase11\module_H\11H_orphan_file_detector_READY.py,147,058bdd14ecac84ee6a0aee9107d3f4b3e93ca3f030f3b06af59b202d6843f2cb,SMALL<300
scripts\phase11\module_H\11H_output_file_validator_READY.py,148,cb93219ddfce66bd9a9e2fa7ceaa9adf49d0eedb746befae89f86d8e2699966d,SMALL<300
scripts\phase11\module_H\11H_placeholder_READY.py,68,f5eb6d9770dea5bab7b5f64c2f6b71265eeba97eadf1579a44cbd1b3afe48252,SMALL<300
scripts\phase11\module_H\11H_retry_logic_tester_READY.py,145,c6cf6e1062a00dc3e77c5a3223dc31a696f38d8eed077cab0ff15612af35b20f,SMALL<300
scripts\phase11\module_I\11I_ai_decision_watchdog_READY.py,147,1100bc7929cc4b52502af481cd73df0dda464840f598db8053898098b7eacda0,SMALL<300
scripts\phase11\module_I\11I_broken_link_embed_fixer_READY.py,150,74c8eb848b535441d58dfe14d999ddffa899c242a92d7f342404ec0533e77e15,SMALL<300
scripts\phase11\module_I\11I_central_config_migration_READY.py,151,620e94111123d4040c134384fa54c76fc84c2ec9d251e97d19f1a1c794b6b6cc,SMALL<300
scripts\phase11\module_I\11I_cost_overflow_stopper_READY.py,148,206d6b88e0a5564a0bdacff35df0501c3c8c35cfc5f412fc682dbcd2819b60a4,SMALL<300
scripts\phase11\module_I\11I_fallback_agent_builder_READY.py,149,a7f8f1632f5ed19b3c14109819e418ab25ece1210fac125a4da3e18862e70572,SMALL<300
scripts\phase11\module_I\11I_modularize_orchestration_READY.py,151,8d8d5e84bc836cbe23a694560c947bcc7e06962979f8feae7d708b07a811e20d,SMALL<300
scripts\phase11\module_I\11I_placeholder_READY.py,68,f5eb6d9770dea5bab7b5f64c2f6b71265eeba97eadf1579a44cbd1b3afe48252,SMALL<300
scripts\phase11\module_I\11I_rate_limit_guard_READY.py,143,44ba2d5ce581ac82ecaeabd9fd46a79289cf4ec219fe7db60d5d074095a5e490,SMALL<300
scripts\phase11\module_I\11I_regression_test_runner_READY.py,149,596687fbcf588166321ee9ae7fcddef3a1cfc05dcf1cce263e79a8dcd9440785,SMALL<300
scripts\phase11\module_I\11I_system_wide_retry_limiter_READY.py,152,cd1be88ac66fe9a09f27ee8bf19ca7fd0ce07eb9b7374a5beac87ddeadc2a7f9,SMALL<300
scripts\phase11\module_J\11J_load_spike_simulator_READY.py,147,53fe9f58525d6dad14917ed6f0516a64372b05b1aeb3b62beb8b06364f855878,SMALL<300
scripts\phase11\module_J\11J_memory_leak_detector_READY.py,147,30a6569b4afbe7584c07165d11c74d4d106f32bb94e7f6b83736f7d0089fff60,SMALL<300
scripts\phase11\module_J\11J_placeholder_READY.py,68,f5eb6d9770dea5bab7b5f64c2f6b71265eeba97eadf1579a44cbd1b3afe48252,SMALL<300
scripts\phase11\module_J\11J_random_failure_injector_READY.py,150,83d2fa829872d445a2ff7a612124dd5903b8e61f2120c3ea1dff1b0b6b206df8,SMALL<300
scripts\phase11\module_K\11K_admin_access_checker_READY.py,147,52b386eff0a3555261bd3f0a059754c104fc911cd021237f10b0b54f4938a8c9,SMALL<300
scripts\phase11\module_K\11K_config_tamper_detector_READY.py,149,e45e97846402a062781a3c72f4cd8612ba933657b361341129f86bbc424a3e1f,SMALL<300
scripts\phase11\module_K\11K_directory_write_lock_verifier_READY.py,156,41a908446e1e5ff236a8bce18edd3cff6f35a3fab360608e5610eb7fb29551fd,SMALL<300
scripts\phase11\module_K\11K_placeholder_READY.py,68,f5eb6d9770dea5bab7b5f64c2f6b71265eeba97eadf1579a44cbd1b3afe48252,SMALL<300
scripts\phase11\module_L\11L_output_change_diff_checker_READY.py,153,8dd04cfe4d2e5317f00e9d19456f09506498cec3fa69a1a251b1c176031e454f,SMALL<300
scripts\phase11\module_L\11L_placeholder_READY.py,68,f5eb6d9770dea5bab7b5f64c2f6b71265eeba97eadf1579a44cbd1b3afe48252,SMALL<300
scripts\phase11\module_L\11L_rate_limit_guard_READY.py,68,f5eb6d9770dea5bab7b5f64c2f6b71265eeba97eadf1579a44cbd1b3afe48252,SMALL<300
scripts\phase11\module_L\11L_time_stamped_run_archiver_READY.py,152,2cd9d1d55bb8e1b78bb938d1704ac20cfeb0222f10ed8a749726d2a5fb451e77,SMALL<300
scripts\phase11\module_L\11L_version_drift_detector_READY.py,149,827845a55c9309126039729be3b3b29dc371ca54ffad22fef48f88fede6db8ee,SMALL<300
scripts\phase11\module_M\11M_api_abuse_detector_READY.py,145,98f2f9def4e7d93a0e00e70410795c8db3437b3dc9e6b0706b230f8a828c01ef,SMALL<300
scripts\phase11\module_M\11M_input_sanitizer_READY.py,142,3a9cde6b333bd2e1e104e352c721350908f4768d323d04d2a483adf62479f1de,SMALL<300
scripts\phase11\module_M\11M_placeholder_READY.py,68,f5eb6d9770dea5bab7b5f64c2f6b71265eeba97eadf1579a44cbd1b3afe48252,SMALL<300
scripts\phase11\module_M\11M_prompt_injection_tester_READY.py,150,60fd7b3aad66b259a1975b900db8c7eef26301372fd31a83686f8c16d3d47135,SMALL<300
scripts\phase11\module_N\11N_approval_gate_for_high_risk_ops_READY.py,158,80b196058b0965a82b2a3404567d571f6ec0e85a7c5dcafdfd0c0c7be3aab5ca,SMALL<300
scripts\phase11\module_N\11N_manual_override_toggle_READY.py,149,13cbab34d87129619185e88eb3d937bc727342f9277d72741d1585a3ed8c47d7,SMALL<300
scripts\phase11\module_N\11N_placeholder_READY.py,68,f5eb6d9770dea5bab7b5f64c2f6b71265eeba97eadf1579a44cbd1b3afe48252,SMALL<300
scripts\phase11\module_N\11N_slack_email_alert_system_READY.py,151,67d0bac542775814914cc2557ae0cfd7be0a9f5f67b85555d457f1e57bdb566b,SMALL<300
scripts\phase11\module_O\11O_placeholder_READY.py,68,f5eb6d9770dea5bab7b5f64c2f6b71265eeba97eadf1579a44cbd1b3afe48252,SMALL<300
scripts\phase11\module_O\11O_real_time_log_streamer_READY.py,149,83d4a1b146f7a367843b11760a72f5519941c9aad652d4b7efe5cae08a026c35,SMALL<300
scripts\phase11\module_O\11O_telemetry_exporter_READY.py,145,fe6f2b0dc9575491309122b674d2f551c114bdb458ea04ec106d8ce62cb95c7d,SMALL<300
scripts\phase11\module_O\11O_unified_log_aggregator_READY.py,149,5c0120c89393ceb03bd78808e72cc9c03243dd77a43515ebe8dc584f609b89e5,SMALL<300
scripts\phase11\module_P\11P_api_terms_compliance_checker_READY.py,155,0ff34ed73768506146c9c7f4b66348fafee51c608680b44cb412a2973928aae6,SMALL<300
scripts\phase11\module_P\11P_attribution_inserter_READY.py,147,5a8cfcd2cc7c7c2ebb99bc0ac9a37444c479b441f3c0f5ffa1de69b69cd50f89,SMALL<300
scripts\phase11\module_P\11P_license_file_auditor_READY.py,147,36add062f4d3be26803b3bab2f97cd98062072a986b214886df3d6e33e845842,SMALL<300
scripts\phase11\module_P\11P_placeholder_READY.py,68,f5eb6d9770dea5bab7b5f64c2f6b71265eeba97eadf1579a44cbd1b3afe48252,SMALL<300
scripts\phase11\module_Q\11Q_dependency_version_pin_checker_READY.py,157,70d27e04beb8e257b2fc2cdf665c30c5d4749516883ede1e3f96bed67a2c18d7,SMALL<300
scripts\phase11\module_Q\11Q_placeholder_READY.py,68,f5eb6d9770dea5bab7b5f64c2f6b71265eeba97eadf1579a44cbd1b3afe48252,SMALL<300
scripts\phase11\module_Q\11Q_python_environment_verifier_READY.py,154,d750e9e300e2254436aa7bd6b3494bf49e7daafc893a61e4225adb22b720ab55,SMALL<300
scripts\phase11\module_Q\11Q_virtualenv_isolation_enforcer_READY.py,156,95dabcb3ba8e09fd8f9fd1fd8bfa9622977b626dc2ff5253ed136ce59b512440,SMALL<300
scripts\phase11\module_R\11R_placeholder_READY.py,68,f5eb6d9770dea5bab7b5f64c2f6b71265eeba97eadf1579a44cbd1b3afe48252,SMALL<300
scripts\phase11\module_R\11R_shadow_run_mode_READY.py,142,dc31a35592c592b73fa98446d5df6bd2be577c9a7018cb0f0c62fd287e3a03de,SMALL<300
scripts\phase11\module_R\11R_silent_error_logger_READY.py,68,f5eb6d9770dea5bab7b5f64c2f6b71265eeba97eadf1579a44cbd1b3afe48252,SMALL<300
scripts\phase11\module_R\11R_sneak_audit_agent_READY.py,144,035563c74ccd445ff785190b6be4f6e934bfdb0129cdb3c005626dd511ce73d5,SMALL<300
scripts\phase11\module_S\11S_ai_risk_classifier_READY.py,145,dc5ebe5f27ebe553f87b6a195d5f24c71d323a7be6f7c7e81796c02998fa470f,SMALL<300
scripts\phase11\module_S\11S_mitigation_suggestion_engine_READY.py,155,67217e129612ac94ca09b47c1e194a0a2a62bd502f778260ba6110da81ee7868,SMALL<300
scripts\phase11\module_S\11S_placeholder_READY.py,68,f5eb6d9770dea5bab7b5f64c2f6b71265eeba97eadf1579a44cbd1b3afe48252,SMALL<300
scripts\phase11\module_S\11S_risk_score_dashboard_READY.py,147,49ca5b216e52fd213b22df5a69af706fa1dc48bfcec5039bc380599becc3a84e,SMALL<300
scripts\phase11\module_T\11T_audit_trail_renderer_READY.py,147,7a6cb3cdf28312eec846ced9707999a5419d3327199d89da51298fbefd8a6b24,SMALL<300
scripts\phase11\module_T\11T_decision_chain_visualizer_READY.py,152,00e55aff0fc2d9b379436cd1b5069ed795c696a0d8764e3a779d00233c0f4dae,SMALL<300
scripts\phase11\module_T\11T_output_attribution_tracer_READY.py,152,ca069745ca8730fd9c4f15dc25671e9051df77c9c615018f7a10c5f864c6c622,SMALL<300
scripts\phase11\module_T\11T_placeholder_READY.py,68,f5eb6d9770dea5bab7b5f64c2f6b71265eeba97eadf1579a44cbd1b3afe48252,SMALL<300
scripts\phase11\module_U\11U_agent_voting_system_READY.py,146,29eda96a7cb5b3962be285a98659d918bed88f392207d79c68b99b34c363953b,SMALL<300
scripts\phase11\module_U\11U_chain_of_responsibility_resolver_READY.py,159,e2aac126803d7152b67f9bad850dbfb74bfba6139f2d86cd86de3838ef223c7a,SMALL<300
scripts\phase11\module_U\11U_conflict_detector_between_agents_READY.py,159,26a4ef3b9bbc5714c1d092b9ec3a498705824b71251699819e607551ed75f6c5,SMALL<300
scripts\phase11\module_U\11U_placeholder_READY.py,68,f5eb6d9770dea5bab7b5f64c2f6b71265eeba97eadf1579a44cbd1b3afe48252,SMALL<300
scripts\phase11\module_V\11V_maintece_nudger_READY.py,142,75453afb685f15929d41dd31f99e0c11f9175aa09cf8c41555cef55d07484d5c,SMALL<300
scripts\phase11\module_V\11V_output_drift_detector_READY.py,148,ea9c9381c747fc3cd06c5c601968c8017e30b14ae4dc457948362ad1f1204861,SMALL<300
scripts\phase11\module_V\11V_placeholder_READY.py,68,f5eb6d9770dea5bab7b5f64c2f6b71265eeba97eadf1579a44cbd1b3afe48252,SMALL<300
scripts\phase11\module_V\11V_unused_agent_scanner_READY.py,147,250a768285007415c3da501bfdccb8ec8baf4ce1795c77142c294193009b7c63,SMALL<300
scripts\phase11\module_W\11W_ethical_decision_flagger_READY.py,151,fcc0283f34f8a33b6e3c2bcf99b144350abd1a51c7e2c347582158c85604903c,SMALL<300
scripts\phase11\module_W\11W_hallucination_catcher_READY.py,148,7a454377fd031f5c94282c663af4bc44f93d93f9fa43d62f65bbf1269bd61380,SMALL<300
scripts\phase11\module_W\11W_placeholder_READY.py,68,f5eb6d9770dea5bab7b5f64c2f6b71265eeba97eadf1579a44cbd1b3afe48252,SMALL<300
scripts\phase11\module_W\11W_toxicity_bias_filter_READY.py,147,e590e119ea6e46d96150b7442012c713d01e866c2a4e8cd37e69f052dab16e5c,SMALL<300
scripts\phase11\module_X\11X_agent_sabotage_replay_detector_READY.py,157,7239d05d0c1850686360f80d043fc99af31add379e87bc87ddb7c3a1a2453dbf,SMALL<300
scripts\phase11\module_X\11X_llm_jailbreak_resistance_tester_READY.py,158,3c1d926291d22d778b699d8ab173a8e760fbd753eb0aaf37411fbbdb464ed804,SMALL<300
scripts\phase11\module_X\11X_placeholder_READY.py,68,f5eb6d9770dea5bab7b5f64c2f6b71265eeba97eadf1579a44cbd1b3afe48252,SMALL<300
scripts\phase11\module_X\11X_red_team_threat_simulator_READY.py,152,aa206e4bfcdf54e4afd7aa464d8915500724e4c14a20e36ba727a1ca9d4a1d5f,SMALL<300
scripts\phase11\module_Y\11Y_agent_uptime_monitor_READY.py,147,88d25fdf93f2f785976de5794adf5a18cf4c48b70d72d59fa41a4c2ed9ea7e78,SMALL<300
scripts\phase11\module_Y\11Y_multi_tier_auto_restarter_READY.py,152,4a42481ded7d5662138e1528f94b54a140bd748d4d10bbb015710000723baf72,SMALL<300
scripts\phase11\module_Y\11Y_placeholder_READY.py,68,f5eb6d9770dea5bab7b5f64c2f6b71265eeba97eadf1579a44cbd1b3afe48252,SMALL<300
scripts\phase11\module_Y\11Y_sla_violation_logger_READY.py,147,2c3bf289dbeb15e1a1125922c2e79a889add8a725620bf9fac5c8dd83d871abd,SMALL<300
scripts\phase11\module_Z\11Z_auto_rollback_controller_READY.py,151,62e4f77763d056f738dc21596898add5b3098f628821f7d5a79fd432c8d05520,SMALL<300
scripts\phase11\module_Z\11Z_placeholder_READY.py,68,f5eb6d9770dea5bab7b5f64c2f6b71265eeba97eadf1579a44cbd1b3afe48252,SMALL<300
scripts\phase11\module_Z\11Z_snapshot_creation_diff_engine_READY.py,156,968544190796f721f1312f6c8d5a778fc8f2a75b367dc2c54b4e54dae7ecfb8a,SMALL<300
scripts\phase11\module_Z\11Z_step_by_step_time_travel_debugger_READY.py,160,787e2314120b7ea3b1f15b9ff63d948a3404b6308803c50e847ae712ed413df6,SMALL<300
scripts\phase11\outputs\phase11_outputs_placeholder_READY.py,68,f5eb6d9770dea5bab7b5f64c2f6b71265eeba97eadf1579a44cbd1b3afe48252,SMALL<300
